,id,original_title,genres,story,cast,director,screenplay,keywords
10,tt0044527,Daag,"['Drama', 'Romance']",Living a poor lifestyle with his widowed mother  Shankar sells toys for a living  but is addicted to alcohol. He is attracted to Parvati  who also lives a poor lifestyle along with her step-brother  Jagat Narayan  his wife  and their daughter  Pushpa. After an argument with his mother  Shankar departs to the city  gives up drinking  earns a lot of money  and returns home just to time to pay off his mortgage. But his world will soon be shattered after he goes to ask for the hand of a now wealthy Parvati. This is where he will be forced to face his past  and ultimately be told that Parvati's marriage has been arranged elsewhere. Unable to live without Parvati  he takes up drinking again and heads on to a path of self-destruction.,"['Dilip Kumar', 'Nimmi', 'Usha Kiran', 'Lalita Pawar', 'Kanhaiyalal Chaturvedi', 'Jawahar Kaul', 'Leela Mishra', 'C.S. Dubey', 'Krishnakant', '']",['Amiya Chakrabarty'],"['Rajinder Singh Bedi', 'Amiya Chakrabarty', 'Rajendra Shankar']","['widowed mother', 'mother shankar', 'brother jagat', 'poor lifestyle', 'live without', 'poor lifestyle']"
11,tt0044761,Jaal,"['Crime', 'Thriller']",After losing his vision during a storm  Carlos lives with his sister  Maria  off of the Indian coast in a fishing village. One day a mysterious young woman  Lisa  enters their lives  followed by a mysterious man  Tony Fernandes. Maria and Tony fall in love with each other  much to the chagrin of Simon  who loves Maria and wants to marry her. Lisa then warns Maria that she has known Tony  they have had an affair together  and he had betrayed her  however  this warning has no effect on Maria. Then a gypsy palm-reader also cautions Maria that she may be headed for disaster at the hands of a stranger. The question remains: who exactly are Lisa and Tony  and what is the reason behind their presence on this fishing community; and whether or not Maria is being drawn into a web of lies and deceit at the hands of Tony?,"['Dev Anand', 'Geeta Bali', 'K.N. Singh', 'Johnny Walker', 'Rashid Khan', 'Purnima', 'Krishna Kumari', 'Ram Singh', '']",['Guru Dutt'],['Guru Dutt'],"['mysterious young', 'mysterious man', 'reader also', 'storm carlos', 'lives followed', 'tony fall']"
12,tt0044769,Jhansi Ki Rani,"['Biography', 'Drama', 'History']",Rajguru (Sohrab Modi) decides that Jhansi should get its proper recognition in history. He comes across a young girl Manu (the young Rani Lakshmibai) played by Baby Shikha. Her father has been hit by a carriage driven by an English driver. She gathers a few children to confront the driver. This and her confrontation with an elephant impresses the Rajguru who takes her in hand  shaping her into becoming a determined leader. He arranges for her  at the age of nine  to marry the much-older ruler of Jhansi  Gangadhar Rao (Mubarak)  who is about fifty years  and become Queen. Manu grows up under the expert tutelage of the Rajguru  learning physical combat and political administration. The older Manu now called Lakshmibai gives birth to a boy who dies. She adopts another boy Damodar Rao who the English refuse to accept as the rightful heir. This further sets her against the British. During the uprising of 1857 (1857 Mutiny) she fights against them succumbing to her injuries in the end.,"['Mehtab', 'Sohrab Modi', 'Mubarak', 'Ulhas', 'Ram Singh', 'D.K. Sapru', 'Sikharani Bag', 'Anil Kishore', 'Kamalakant', 'S.B. Nayampalli', 'Michael Shea', 'Dar Kashmiri', 'Marconi', 'Chabeji', '']",['Sohrab Modi'],"['Geza Herczeg', 'Sudarshan', 'Adi F. Keeka', 'Shams Lacknavi', 'Munish Ahdul Baqui', 'Pandit S.R. Dube', 'Girish Pandit', 'William DeLane Lea', 'L. Bijlani']","['adopts another', 'called lakshmibai', 'rajguru learning', 'young rani', 'jhansi gangadhar', 'young girl']"
13,tt0045467,Aah,"['Drama', 'Musical', 'Romance']",Allahabad-based Raj Raibahadur lives a wealthy lifestyle with his widowed businessman dad. His mom had passed away  a victim to tuberculosis  compelling his anxious dad to keep him away from the hustle  bustle and pollution associated with cities. As a result Raj ends up in the countryside  involved in the construction of a dam. His dad asks him to commence correspondence with a Riva-based young woman by the name of Chandra Rai  with a view to get him married  to which Raj agrees. The correspondence starts  and even without meeting each other  Chandra and Raj fall in love. They cement they love when they finally meet with each other. When Raj tells him dad  the marriage proposal is put forth  but to Raj's shock and dismay  Chandra rejects him. It is only later that Raj finds out that the woman he had corresponded with was not Chandra  but her younger sister  Neelu. Then the Raibahadur family physician  Dr. Kailash  gives them devastating news that Raj has tuberculosis and is not ...,"['Nargis', 'Raj Kapoor', 'Vijayalaxmi', 'Pran', 'Ramesh Sinha', 'Bhupendra Kapoor', 'Leela Mishra', 'Rashid Khan', 'Sohanlal', 'Kusum', '']",['Raja Nawathe'],['Inder Raj Anand'],"['raibahadur family', 'based raj', 'younger sister', 'even without', 'based young', 'result raj']"
14,tt0045506,Anarkali,"['History', 'Musical', 'Romance']",Shahenshah Jalaudin Akbar is the grandson of Babbar  and the son of Humayun. He is known to have ruled over Hindustan with a humane and just heart. He knew in order to garner the support of the Hindus  he must treat them sensitively  allow them to worship freely  and in order to maintain this peace  he married Jodabai  a Hindu Rajput  the sister of Raja Man Singh. Through this marriage they became the proud parents of Shehzada Salim. Akbar first met Nadira in the Anar garden  while she was awaiting the arrival of her lover. So pleased he was with her that he wanted to reward her  but she only asked for an Anar  so he ended up bestowing her with the name of 'Anarkali'. He met her the second time when she was able to revive Salim  who was seriously wounded in a war in Kabul. Once again Akbar was pleased with her  wanted to reward her  but again she turned him down. The third time she ended up annoying Akbar when she sang and danced in his court under the influence of alcohol  and he has...,"['Bina Rai', 'Pradeep Kumar', 'Kuldip Kaur', 'Ruby Mayer', 'S.L. Puri', 'Manmohan Krishna', 'Noor', '']",['Nandlal Jaswantlal'],"['Hameed Butt', 'Nasir Hussain', 'Ramesh Saigal']","['akbar first', 'raja man', 'shahenshah jalaudin', 'annoying akbar', 'worship freely', 'third time']"
15,tt0045524,Aurat,"['Action', 'Adventure', 'Drama']",Adil (Premnath) is a dashing  brave young man  full of hope and mindful of the rights of all people  especially the downtrodden. It is this last attribute that ends up putting him in the bad books of the Emperor (Ulhas). The Emperor orders his arrest. But before the soldiers can arrest Adil  he single-handedly rescues the Emperor's bethrothed from a lion. This earns him the gratitude of beautiful Queen-to-be  Juhi (Purnima). The Emperor  pleased with Adil  gives him an important assignment in his army  and promises that Adil's fellow-villagers will not face oppression  taxes or forced labour from his army. Ruhi (Bina Rai) loves Adil  but Adil is unaware of this. Juhi is impressed by Adil and this impression turns to love  and she tells Adil about this. Adil does not think it appropriate for a bethrothed to be his lover and wife  and spurns her. Angered Juhi starts to plot against Adil  by getting the emperor to collect taxes and forced labour from Adil's village. This angers Adil  who...,"['Bina Rai', 'Prem Nath', 'Purnima', 'Ulhas', 'Hiralal', 'Roopmala', 'Nazira', 'Meera', 'Dev Kishan', 'Mirza', 'Sheo Pratap', 'Shanta Patel', 'Nazir Kashmiri', '']",['Bhagwan Das Varma'],"['Shanta Arora', 'Bhagwan Das Varma', 'Talmiz Hussain', 'Agha Jani Kashmiri', 'Balkishen Mauj', 'Sheo Pratap', 'Ratilal Thakar']","['dashing brave', 'face oppression', 'angered juhi', 'collect taxes', 'ulhas ).', 'purnima ).']"
16,tt0045529,Baaz,"['Action', 'Adventure', 'Drama']",Nisha lives a poor lifestyle in the Portuguese-ruled Malabar region in India along with her widowed dad  Narayan Das. Both father and daughter are opposed to the oppressive rule of the Portuguese General Barborosa  and even shelter a freedom fighter  Ramzan Ali Saudagar. When the Police get wind of this  they arrest both Ramzan and Narayan and torture them. Nisha approaches Raj Mata albeit in vain. Thereafter Nisha and her friend are arrested and jailed after a failed attempt to kill Barborosa. After spending sometime in prison  the two women  along with several other prisoners are hired out to work on a merchant ship. They end up overpowering the ship and it's men and take over it. They use this ship to tackle another Portuguese vessel  sinking it  and taking three captives  an astrologer  a young man  and a woman named Rosita. The young man  who had rescued Nisha from molesters earlier  falls in love with Nisha and together they decide to oppose the Portuguese regime and overthrow ...,"['Guru Dutt', 'Geeta Bali', 'K.N. Singh', 'Johnny Walker', 'Yashodra Katju', 'Kuldip Kaur', 'M.A. Latif', 'Jankidas', 'Ruby Mayer', 'Habib', 'Patel', 'Ram Singh', '']",['Guru Dutt'],"['Lalchand Bismil', 'Guru Dutt', 'Sarshar Sailani']","['freedom fighter', 'tackle another', 'nisha approaches', 'widowed dad', 'woman named', 'taking three']"
17,tt0045693,Do Bigha Zamin,['Drama'],A small Bengali landowner and his young son are in danger when their two-acre farmland where they live is in danger of being taken over by a local zamindar (feudal lord) for failure to pay for mounting debits. They move to Calcutta where the father tries making a living as a rickshaw puller while his wife joins him but falls ill which threatens everything they have going to try to save their ancestorial home.,"['Balraj Sahni', 'Nirupa Roy', 'Rattan Kumar', 'Murad', 'Rajlakshmi Devi', 'Nana Palsikar', 'Noor', 'Nasir Hussain', 'Rekha Mallick', 'Misra', 'Chitra', 'Jagdeep', 'Sarita Devi', 'Dilip Kumar Jr.', '']",['Bimal Roy'],"['Salil Choudhury', 'Paul Mahendra', 'Hrishikesh Mukherjee']","['small bengali', 'father tries', 'young son', 'wife joins', 'threatens everything', 'rickshaw puller']"
18,tt0046164,Parineeta,"['Drama', 'Romance']",In Calcutta at the turn of the century  two families (one wealthier than the other but both belonging to the same caste) live in adjoining properties. Their respective patriarchs fall out over the repayment of a loan and the intervention of a member of a lower caste in the families' financial arrangements. The rift causes much heartache to the younger members of the families  two of whom have secretly plighted their troth to each other.,"['Ashok Kumar', 'Meena Kumari', 'Asitbaran', 'Sheila Kashmiri', 'Nasir Hussain', 'Badri Prasad', 'Pratima Devi', 'Rekha Mallick', 'Manju', 'Manorama', 'Shelley Bannerjee', 'Naina', 'Sarita', 'G. Vaid', '']",['Bimal Roy'],"['Moni Bhattacharjee', 'Saratchandra Chatterjee', 'Kamal Chowdhary', 'Vrajendra Gaur', 'Nabendu Ghosh', 'Bimal Roy', 'Asit Sen']","['rift causes', 'respective patriarchs', 'century two', 'families two', 'younger members', 'secretly plighted']"
19,tt0046673,Aar-Paar,"['Musical', 'Romance', 'Thriller']",Kalu is a taxi-driver in Bombay  India. He has two women who love him and would like to marry him. Kalu first wants to establish himself  and become rich  before he can even think of marriage. One of the women who loves him  has a father who is involved in gangster-type activities  and would like Kalu also to join him so that he can get rich soon. Kalu has now to decide to become rich quick or sleep better.,"['Shyama', 'Guru Dutt', 'Jagdish Sethi', 'Johnny Walker', 'Jagdeep', 'Shakila', 'Bir Sakuja', 'Rajendra', 'Amir Banu', 'Rashid Khan', '']",['Guru Dutt'],"['Abrar Alvi', 'Nabendu Ghosh']","['would like', 'get rich', 'kalu first', 'become rich', 'would like', 'become rich']"
20,tt0046703,Amar,"['Drama', 'Musical', 'Romance']",Anju Rai lives a wealthy lifestyle with her widowed dad in a palatial house. She is now of marriageable age  and her dad has arranged her marriage with Advocate Amarnath. Both Anju and Amarnath meet and fall in love with each other. Shortly before their formal engagement  Anju notices a change in Amarnath - as he appears to be drifting further from her. Then he decides to demolish his house and re-built it  and also refuses to go near any Mandir - either alone or in Anju's company. When part of the house collapses  he is injured  but recuperates quickly. It is then the town is set afire with rumors that Amarnath may have sexually molested a village belle named Sonia  who sells milk  lives a poor lifestyle with her widowed dad  cruel step-mother  and is to be married to the village goon  Shankar. Watch what happens when Shankar gets killed  and Sonia is arrested for killing him.,"['Madhubala', 'Nimmi', 'Dilip Kumar', 'Jayant', 'Ulhas', 'Mukri', 'Husn Banu', 'Amar', 'Siddiqui', 'Murad', 'Pandey', 'Haroon', 'Agha Miraz', 'Shakeel Nomani', '']",['Mehboob Khan'],"['S.K. Kalla', 'Agha Jani Kashmiri', 'Mehrish', 'B.S. Ramaiah', 'S. Ali Raza']","['formal engagement', 'village belle', 'widowed dad', 'village goon', 'shankar gets', 'sells milk']"
21,tt0046780,Biraj Bahu,['Drama'],Nilambhar Chakravorty belongs to a poor family  and lives in a joint family with his married brother  Pitambar  unmarried sister  Punnu  and wife  Biraj. Since his sister is of marriageable age  he arranges her marriage  and borrows some money. When Pitambar comes to know about this  he refuses to share any expense in his sister's marriage  and decides to separate  resulting in a fence being put up between their homes. Nilambher  unable to find employment  is unable to pay back the loan  and soon both he and his wife barely have enough to live on. To complicate matters further  Deodhar  a wealthy young contractor has his eye on Biraj's beauty and would like to be intimate with her  in return for money and a better life. He even hires Biraj's maidservant  Sundari  to lure Biraj to him. One day when Nilambher goes to attend a funeral in a nearby town  and does not come home for two days. When he returns he is told that Biraj had been seen hear Deodhar's place. When he questions her  she...,"['Kamini Kaushal', 'Abhi Bhattacharya', 'Shakuntala', 'Pran', 'Randhir', 'Manorama', 'Kammo', 'Vikram Kapoor', 'Nazima', 'Iftekhar', 'Moni Chatterjee', 'Sarita Devi', 'Shivji Bhai', 'Maya Dass', '']",['Bimal Roy'],"['Saratchandra Chatterjee', 'Nabendu Ghosh', 'Nasir Hussain', 'Bimal Roy']","['married brother', 'wealthy young', 'nilambhar chakravorty', 'seen hear', 'even hires', 'pitambar comes']"
22,tt0046799,Boot Polish,"['Comedy', 'Drama', 'Family']",Toddlers Belu and Bhola share an uncertain future when their mom dies in the plague  and their dad is imprisoned. They are then left in the uncaring care of Kamla  their aunt  who moonlights as a prostitute. She is cruel abusive and forces them to take to a life of begging on the local trains  on beaches and crowded areas in Bombay. This is how the toddlers grow up  they want to lead a respectable life  and with the help of bootlegger John  they get a shoe-shine kit and start shining shoes on busy sidewalks and railway platforms. Their circumstances face more uncertainty when Kamla finds out about their new-found profession  beats them up and throws them out of the house. They temporarily seek shelter with John  but when he is arrested  they have to fend for themselves. Things become bad to worse when Bombay enters the monsoon season  when people do not get their shoes shined; then the duo are separated - with Belu ending up with a rich family  and when she asks about Bhola  she is ...,"['Kumari Naaz', 'Rattan Kumar', 'David Abraham', 'Chand Burke', 'Veera', 'Bhupendra Kapoor', 'Shailendra', 'Mohanbali', 'Nissar', 'Bhudo Advani', '']",['Prakash Arora'],['Bhanu Pratap'],"['things become', 'temporarily seek', 'found profession', 'start shining', 'shoes shined', 'uncertain future']"
23,tt0047060,Hamlet,['Drama'],Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother  but the prince cannot decide whether or not he should take vengeance.,"['Pradeep Kumar', 'Mala Sinha', 'Kishore Sahu', 'Venus Banerji', '']",['Kishore Sahu'],['William Shakespeare'],"['prince cannot', 'take vengeance', 'hamlet suspects', 'hamlet', 'uncle', 'throne']"
24,tt0047271,Naukari,"['Drama', 'Family']",Comic  tragic  and heartrending saga of Ratan Kumar Chaudhary (Kishore Kumar)  who leaves his village  aging mom  and seriously ill sister  to obtain employment in Calcutta  only to end up in a tiny tenement apartment full of other unemployed youths. He falls in love with Seema (Sheila Ramani) who lives in the building opposite his  and she too falls in love with him. Her father will not permit her to marry an unemployed youth  and wants her to marry someone known to him. Ratan receives an employment offer from a firm in Bombay  and travels there  only to have his wallet stolen by a pickpocket (Mehmood)  and ends up in jail for being a suspect himself. He reports for employment and is hired. He sends for Seema  and she leaves her family for Ratan. By the time Seema reaches Bombay  Ratan has lost his job  and is forced to lie to Seema. Why did Ratan lose his job?,"['Kishore Kumar', 'Sheila Ramani', 'Balraj Sahni', 'Jagdeep', 'Kanhaiyalal Chaturvedi', 'Nirupa Roy', '']",['Bimal Roy'],"['Subodh Basu', 'Paul Mahendra']","['time seema', 'tiny tenement', 'village aging', 'seriously ill', 'ratan kumar', 'marry someone']"
25,tt0047561,Taxi Driver,"['Musical', 'Romance']",Mangal drives a taxi by day  then drinks at night  listens to his singer girlfriend Sylvie and then goes into a drunken stupor - and wakes up with a hangover. One day  while assisting another taxi driver  Mangal comes to the assistance of a damsel in distress who is being molested by two thugs. Mangal gallants rescues her and attempts to take her to her destination  to no avail  as the person she is looking for has moved. The next day  Mangal and the young woman  Mala  again attempt to seek Ratanlal  a music director  but the entire day is spent in vain. Mala lives in Mangal's tiny apartment and both become attracted to each other. When Mala finds out about Sylvie  she leaves him. He goes in her search  but finds that she has become a famous singer with the help of her music director friend. Will Mangal ever get a chance to tell about his love for Mala? What will Sylvie's reaction be?,"['Dev Anand', 'Kalpana Kartik', 'Sheila Ramani', 'Johnny Walker', 'Bhagwan Sinha', 'Patanjal', 'Shujju', 'Kamal Singh', 'Vernon Corke', 'Krishan Dhawan', 'Rashid Khan', 'M.A. Latif', 'Parveen Kaul', '']",['Chetan Anand'],"['Chetan Anand', 'Uma Anand', 'Vijay Anand']","['assisting another', 'mangal gallants', 'mangal ever', 'young woman', 'next day', 'music director']"
26,tt0047990,Devdas,"['Drama', 'Musical', 'Romance']",Devdas and Parvati had been inseparable as children  and as they grew older  Love Blossomed. Devdas is sent away for studies by his parents - he and Parvati are separated. A chain of events lead to Parvati being married off to someone else and Devdas drowns his sorrows in alcohol. When Devdas is pronounced critical due to his drinking  he remembers the promise he had made to Parvati  of coming to see her before he dies. Will he fulfilled this promise or not?,"['Dilip Kumar', 'Vyjayanthimala', 'Motilal', 'Suchitra Sen', 'Nasir Hussain', 'Murad', 'Kanhaiyalal Chaturvedi', 'Moni Chatterjee', 'Iftekhar', 'Shivraj', 'Nana Palsikar', 'Ashim Kumar', 'Ram Kumar', 'Vikram Kapoor', '']",['Bimal Roy'],"['Rajinder Singh Bedi', 'Saratchandra Chatterjee', 'Nabendu Ghosh']","['grew older', 'pronounced critical', 'someone else', 'sent away', 'events lead', 'devdas drowns']"
27,tt0048181,House No. 44,"['Crime', 'Drama']",Ashok is a petty thief working under a notorious gangster named Sunder. When Ashok comes across a dead body of a watchman  he reports this matter to the police  much to the anger of some of Sunder's men. Ashok then meets Nimmo  and both fall in love with each other. Nimmo convinces Ashok to give up this life of crime  and begin anew. Ashok agrees  and then when he has not eaten for two or three days  he realizes that it is not that easy to be a honest man. And neither will his former associates let him live very long  nor will they trust their secrets with him as long as he is alive.,"['Dev Anand', 'Kalpana Kartik', 'K.N. Singh', 'Bhagwan Sinha', 'Kumkum', 'Rashid Khan', 'Kammo', 'Sheela Vaz', 'Prabhu Dayal', 'Jambura', '']",['M.K. Burman'],['Vishwamitter Adil'],"['notorious gangster', 'petty thief', 'former associates', 'ashok comes', 'nimmo convinces', 'meets nimmo']"
